Epsiode Cummulative Reward: 742.9344062805176, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 89.83209133148193, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.874301910400391e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 758.115658223629, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 840.3917791843414, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2751.2126650214195, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 94.02985072135925, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 392.0708820819855, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 770.7089457511902, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1070.4290808439255, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 715.2317926287651, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 98.2276092171669, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 10.914183497428894, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2602.611925005913, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 710.194908618927, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 412.18170487880707, Episode Timestpes: 4025,
Epsiode Cummulative Reward: 602.7422605156898, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.827976226806641e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 344.216412127018, Episode Timestpes: 4383,
Epsiode Cummulative Reward: -2.86102294921875e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 119.21642404794693, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 59.602618753910065, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 763.9925260543823, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 688.4328342080116, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 786.5870704054832, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.152557373046875e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 794.142324090004, Episode Timestpes: 1563,
Epsiode Cummulative Reward: 994.869386434555, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 434.8880424499512, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 622.1081833839417, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 98.2184424996376, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1688.339538693428, Episode Timestpes: 2686,
Epsiode Cummulative Reward: 2206.9769139289856, Episode Timestpes: 3714,
Epsiode Cummulative Reward: 2104.7574382424355, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1100.6529610157013, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 935.2611806988716, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -9.715557098388672e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 683.3955035209656, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1144.3096898198128, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 382.80010491609573, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1082.1828107833862, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 134.32835572957993, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 690.0475239753723, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 483.58208906650543, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 571.7350672483444, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 980.5969942212105, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.708766937255859e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 895.8022269010544, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 120.04474759101868, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 822.6844351291656, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1675.7462480664253, Episode Timestpes: 2760,
Epsiode Cummulative Reward: 780.7835627198219, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 397.10820788145065, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 366.04477548599243, Episode Timestpes: 616,
Epsiode Cummulative Reward: 78.07835519313812, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 694.3096954226494, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 15.950020730495453, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 758.8844061493874, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -8.344650268554688e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 8.52346420288086e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.649162292480469e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1692.53728890419, Episode Timestpes: 1740,
Epsiode Cummulative Reward: 737.0581090450287, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 701.0261081457138, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 73.87371379137039, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 765.6716184616089, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1150.186548948288, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 685.0107228159904, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 416.4179080724716, Episode Timestpes: 662,
Epsiode Cummulative Reward: 1.7881393432617188e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 823.5239015221596, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 387.8731198310852, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 900.8395446538925, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 87.3134338259697, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 896.6417781710625, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 469.3096858859062, Episode Timestpes: 4090,
Epsiode Cummulative Reward: 641.4179049134254, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 319.8694011569023, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 724.4659672379494, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.3709068298339844e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2119.0298351049423, Episode Timestpes: 2621,
Epsiode Cummulative Reward: 1.4543533325195312e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 612.033585369587, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 102.42537587881088, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 8.225440979003906e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.7158085107803345, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.150369644165039e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1119.9626665711403, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 757.2761099934578, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.1920928955078125e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.6791038513183594, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 342.5373085141182, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 881.5298194289207, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 344.2164049744606, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.555970549583435, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -7.450580596923828e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 84.79477828741074, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -8.940696716308594e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.092952728271484e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 705.1580745577812, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 46.17537206411362, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1046.9216280579567, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 347.5746198296547, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1177.0522164702415, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.2649765014648438e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1133.3955117464066, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 719.4962623715401, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 715.2984970808029, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1086.3805755376816, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 35.261190831661224, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 62.96641379594803, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 343.3768672943115, Episode Timestpes: 2893,
Epsiode Cummulative Reward: 845.4291043877602, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.933906555175781e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 73.88060706853867, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1164.3503285050392, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1203.9178876280785, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 817.7238595485687, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 375.2798445224762, Episode Timestpes: 2232,
Epsiode Cummulative Reward: 7.808208465576172e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.6868114471435547e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.6689300537109375e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.1920928955078125e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5.424022674560547e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 449.1185508966446, Episode Timestpes: 4479,
Epsiode Cummulative Reward: -4.410743713378906e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.708766937255859e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 712.7798489332199, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 722.014904499054, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 350.9328329563141, Episode Timestpes: 1039,
Epsiode Cummulative Reward: 313.15297907590866, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 83.11566537618637, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 360.16790783405304, Episode Timestpes: 2417,
Epsiode Cummulative Reward: 1191.2134385704994, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2765.4850527644157, Episode Timestpes: 3669,
Epsiode Cummulative Reward: 1687.4999769926071, Episode Timestpes: 1998,
Epsiode Cummulative Reward: 2232.3693637251854, Episode Timestpes: 2111,
Epsiode Cummulative Reward: 1593.4701287150383, Episode Timestpes: 2982,
Epsiode Cummulative Reward: 1095.6156327724457, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 936.0133973360062, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1560.5819630026817, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1072.9477348923683, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.7881393432617188e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 404.6641727089882, Episode Timestpes: 2289,
Epsiode Cummulative Reward: 1128.3581948280334, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.933906555175781e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 897.4813237190247, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 392.8738040924072, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2140.0186299681664, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1651.2451729774475, Episode Timestpes: 3579,
Epsiode Cummulative Reward: 658.2089537978172, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 460.91417050361633, Episode Timestpes: 4479,
Epsiode Cummulative Reward: 759.7238899469376, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2160.1678873300552, Episode Timestpes: 1496,
Epsiode Cummulative Reward: 71.36193197965622, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1184.6081909537315, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 763.0817515254021, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1160.9924310445786, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 776.5857992768288, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1225.6319034695625, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1214.7187269330025, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2236.567136287689, Episode Timestpes: 3833,
Epsiode Cummulative Reward: 372.7264202237129, Episode Timestpes: 206,
Epsiode Cummulative Reward: 1639.6455035805702, Episode Timestpes: 1765,
Epsiode Cummulative Reward: 1212.3134040236473, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.76837158203125e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.555987358093262, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.2993812561035156e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.4373016357421875e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.1742115020751953e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 30.22388529777527, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.5762786865234375e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 333.3022450208664, Episode Timestpes: 2662,
Epsiode Cummulative Reward: 1076.3059322834015, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2785.634313583374, Episode Timestpes: 3311,
Epsiode Cummulative Reward: 361.00745713710785, Episode Timestpes: 2129,
Epsiode Cummulative Reward: 284.5816513299942, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1137.487146615982, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2204.4585132598877, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 863.8992421627045, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1648.0410283207893, Episode Timestpes: 3249,
Epsiode Cummulative Reward: 357.6158891916275, Episode Timestpes: 4038,
Epsiode Cummulative Reward: 2159.966407895088, Episode Timestpes: 4477,
Epsiode Cummulative Reward: 2164.36565220356, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.728534698486328e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5.4836273193359375e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.980232238769531e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 334.14179372787476, Episode Timestpes: 2761,
Epsiode Cummulative Reward: 672.4813367128372, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 713.6193938851357, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.2186508178710938e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.2782554626464844e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1085.5410338640213, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 724.5335632562637, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 761.4738677144051, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 9.655952453613281e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 856.3432700037956, Episode Timestpes: 3180,
Epsiode Cummulative Reward: 763.152945458889, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 757.205474793911, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2187.0335693359375, Episode Timestpes: 3451,
Epsiode Cummulative Reward: 1185.447751879692, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1686.6604239940643, Episode Timestpes: 3618,
Epsiode Cummulative Reward: 1621.175355374813, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2766.3245937228203, Episode Timestpes: 3256,
Epsiode Cummulative Reward: 1199.7201286554337, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 845.4290816187859, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1198.880575954914, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1183.768637418747, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2790.411288678646, Episode Timestpes: 2216,
Epsiode Cummulative Reward: 793.3768554925919, Episode Timestpes: 3904,
Epsiode Cummulative Reward: 356.8096950650215, Episode Timestpes: 872,
Epsiode Cummulative Reward: 1221.548462986946, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2192.910418510437, Episode Timestpes: 3402,
Epsiode Cummulative Reward: 2187.8730934262276, Episode Timestpes: 2182,
Epsiode Cummulative Reward: 1232.4626643061638, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2189.5522155165672, Episode Timestpes: 2024,
Epsiode Cummulative Reward: 2182.8357923030853, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 816.8843080997467, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 344.21641933918, Episode Timestpes: 2399,
Epsiode Cummulative Reward: 6.735324859619141e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.0132789611816406e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.6789488196372986, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.1324882507324219e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.4570693969726562e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -8.344650268554688e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.3113021850585938e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.5762786865234375e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -5.960464477539063e-08, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.510185241699219e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2231.52984637022, Episode Timestpes: 3765,
Epsiode Cummulative Reward: 1552.3320704102516, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2234.8880299329758, Episode Timestpes: 2240,
Epsiode Cummulative Reward: 2767.7454917430878, Episode Timestpes: 3305,
Epsiode Cummulative Reward: 2214.7387761473656, Episode Timestpes: 1361,
Epsiode Cummulative Reward: 2778.0783154964447, Episode Timestpes: 3735,
Epsiode Cummulative Reward: 2248.3208716511726, Episode Timestpes: 3581,
Epsiode Cummulative Reward: 2235.7275797128677, Episode Timestpes: 1853,
Epsiode Cummulative Reward: 2236.5671358704567, Episode Timestpes: 3131,
Epsiode Cummulative Reward: 2124.06713283062, Episode Timestpes: 1825,
Epsiode Cummulative Reward: 1011.566066801548, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 72.20148152112961, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2207.1828134655952, Episode Timestpes: 1011,
Epsiode Cummulative Reward: 23.507463991642, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2763.8059430122375, Episode Timestpes: 1542,
Epsiode Cummulative Reward: 2114.83205473423, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.682209014892578e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 763.152969121933, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 714.4589490890503, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2805.7835543751717, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 673.3208838701248, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.808208465576172e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.9141387939453125e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 13.431601583957672, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 413.0211708545685, Episode Timestpes: 1686,
Epsiode Cummulative Reward: 739.5765317082405, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 674.1604378819466, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 470.9888039827347, Episode Timestpes: 2034,
Epsiode Cummulative Reward: 102.41581684350967, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 713.6193810105324, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 461.75372636318207, Episode Timestpes: 259,
Epsiode Cummulative Reward: 656.5298303365707, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1026.7723692655563, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 92.35074144601822, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 628.8246135115623, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.055002212524414e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 9.953975677490234e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -6.794929504394531e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 865.497601389885, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1100.5502914190292, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.927417755126953e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.76837158203125e-07, Episode Timestpes: 4500,
