Epsiode Cummulative Reward: 861.3805885314941, Episode Timestpes: 188,
Epsiode Cummulative Reward: 922.6678755879402, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1173.6940017342567, Episode Timestpes: 1570,
Epsiode Cummulative Reward: 405.46590507030487, Episode Timestpes: 2034,
Epsiode Cummulative Reward: 417.25745648145676, Episode Timestpes: 419,
Epsiode Cummulative Reward: 411.38059335947037, Episode Timestpes: 113,
Epsiode Cummulative Reward: 411.38059335947037, Episode Timestpes: 113,
Epsiode Cummulative Reward: 364.36566603183746, Episode Timestpes: 293,
Epsiode Cummulative Reward: 340.85820376873016, Episode Timestpes: 323,
Epsiode Cummulative Reward: 343.37686133384705, Episode Timestpes: 139,
Epsiode Cummulative Reward: 351.7723826766014, Episode Timestpes: 323,
Epsiode Cummulative Reward: 5.364418029785156e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 424.7738028764725, Episode Timestpes: 1872,
Epsiode Cummulative Reward: 427.3320876955986, Episode Timestpes: 677,
Epsiode Cummulative Reward: 1154.3843118548393, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 703.5447669625282, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.3113021850585938e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 50.36843365430832, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 96.54850697517395, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 348.41417717933655, Episode Timestpes: 95,
Epsiode Cummulative Reward: 361.8470103740692, Episode Timestpes: 643,
Epsiode Cummulative Reward: 451.6790987253189, Episode Timestpes: 207,
Epsiode Cummulative Reward: 407.1828299164772, Episode Timestpes: 713,
Epsiode Cummulative Reward: 338.3395478129387, Episode Timestpes: 292,
Epsiode Cummulative Reward: 165.39178478717804, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 13.43283325433731, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 62.96641677618027, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2192.0708690285683, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2225.6529641747475, Episode Timestpes: 733,
Epsiode Cummulative Reward: 2776.399216532707, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1760.5410264134407, Episode Timestpes: 443,
Epsiode Cummulative Reward: 1760.5410264134407, Episode Timestpes: 443,
Epsiode Cummulative Reward: 2742.817138373852, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2223.134301006794, Episode Timestpes: 1134,
Epsiode Cummulative Reward: 1868.0037274956703, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -5.364418029785156e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2213.899238705635, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2218.936565876007, Episode Timestpes: 363,
Epsiode Cummulative Reward: 1760.5410432815552, Episode Timestpes: 445,
Epsiode Cummulative Reward: 2219.7761115431786, Episode Timestpes: 1210,
Epsiode Cummulative Reward: 2246.641776382923, Episode Timestpes: 320,
Epsiode Cummulative Reward: 2219.776111125946, Episode Timestpes: 288,
Epsiode Cummulative Reward: 2236.5671504735947, Episode Timestpes: 360,
Epsiode Cummulative Reward: 2201.305958390236, Episode Timestpes: 257,
Epsiode Cummulative Reward: 1760.5410373806953, Episode Timestpes: 513,
Epsiode Cummulative Reward: 2531.249988734722, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2961.1007201075554, Episode Timestpes: 670,
Epsiode Cummulative Reward: 2242.444028735161, Episode Timestpes: 341,
Epsiode Cummulative Reward: 1760.5410410165787, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4970.1492151618, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2119.8693953752518, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 824.4402891397476, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 881.5298485159874, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1036.8469976782799, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 864.7387920618057, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 834.5149073600769, Episode Timestpes: 1627,
Epsiode Cummulative Reward: 1355.0372757911682, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1389.4589468240738, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2745.3357903957367, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 884.0484813451767, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 894.1231283545494, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2409.514894962311, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1760.5410173535347, Episode Timestpes: 494,
Epsiode Cummulative Reward: 2781.4365323781967, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 337.49999606609344, Episode Timestpes: 387,
Epsiode Cummulative Reward: 368.5634283423424, Episode Timestpes: 293,
Epsiode Cummulative Reward: 422.29477071762085, Episode Timestpes: 449,
Epsiode Cummulative Reward: 352.6119360923767, Episode Timestpes: 285,
Epsiode Cummulative Reward: 338.33954828977585, Episode Timestpes: 446,
Epsiode Cummulative Reward: 340.85820496082306, Episode Timestpes: 309,
Epsiode Cummulative Reward: 345.8955183625221, Episode Timestpes: 622,
Epsiode Cummulative Reward: 336.66044384241104, Episode Timestpes: 288,
Epsiode Cummulative Reward: 340.01865273714066, Episode Timestpes: 317,
Epsiode Cummulative Reward: 920.1492074131966, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 346.7350705265999, Episode Timestpes: 359,
Epsiode Cummulative Reward: 337.49999606609344, Episode Timestpes: 371,
Epsiode Cummulative Reward: 424.81342738866806, Episode Timestpes: 713,
Epsiode Cummulative Reward: 354.2910405397415, Episode Timestpes: 510,
Epsiode Cummulative Reward: 418.0970095396042, Episode Timestpes: 514,
Epsiode Cummulative Reward: 341.69775718450546, Episode Timestpes: 491,
Epsiode Cummulative Reward: 336.66044384241104, Episode Timestpes: 358,
Epsiode Cummulative Reward: 359.32835388183594, Episode Timestpes: 323,
Epsiode Cummulative Reward: 350.9328316450119, Episode Timestpes: 226,
Epsiode Cummulative Reward: 937.779819726944, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 337.4999966621399, Episode Timestpes: 135,
Epsiode Cummulative Reward: 4038.2462440133095, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1760.541030883789, Episode Timestpes: 489,
Epsiode Cummulative Reward: 1760.541030883789, Episode Timestpes: 489,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4025.6529811620712, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.85819375515, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.246268093586, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858193516731, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858193099499, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858193516731, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.8581919670105, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858192920685, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4034.0485033988953, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858190357685, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.8581909537315, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858190834522, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4023.9738767147064, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.8581919670105, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858191728592, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858190536499, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858191609383, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858191430569, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.8581909537315, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858191370964, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858192265034, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858191788197, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858200073242, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858191251755, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4036.5671643018723, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858193993568, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.8581911325455, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858190596104, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858189940453, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.8581901192665, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858191490173, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.8581909537315, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.8581909537315, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858192324638, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858192324638, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6640.858191549778, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
